tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy,invOpc_p50,invOpc_p90,invOpc_p99,invOpc_mean,invOpc_corr_age,invOpc_corr_cells,invOpc_corr_energy
40,30,123,3,0.341463,0.666534,1.098414,0.999819,0.010840,4.100000,0.304878,2.033333,132911.000000,132911.000000,0.000000,91,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,1516,262,0.366244,0.891390,2.334555,2.222596,0.000000,0.000000,2.000000,0.166667,0.000000,-0.216526,0.089313
80,24,181,3,0.359116,0.665670,1.097135,0.998655,0.025783,7.541667,0.408840,2.875000,132911.000000,132911.000000,0.000000,123,0,44,0,0,0,0,0,0.000000,0.000000,0.000000,596,42,0.245521,0.866971,2.335890,2.220600,0.000000,1.000000,1.000000,0.166667,0.000000,-0.044228,-0.091424
120,24,214,3,0.355140,0.665779,1.097283,0.998790,0.028037,8.916667,0.464953,3.125000,132911.000000,132911.000000,-0.000000,95,0,118,0,0,2,2,2,8.000000,0.000000,9.500000,356,5,0.162937,0.888061,2.315358,2.207295,0.000000,1.000000,1.000000,0.166667,-0.276792,-0.029683,-0.229871
160,23,235,3,0.344681,0.666148,1.097827,0.999285,0.019858,10.217391,0.476596,3.478261,132911.000000,132911.000000,-0.000000,112,0,330,3,3,2,2,2,5.000000,0.000000,12.000000,379,0,0.119741,0.903544,2.282330,2.186516,0.000000,0.000000,1.000000,0.086957,-0.146869,0.138985,-0.125726
200,23,257,5,0.357977,0.690730,1.249116,0.776119,0.390661,11.173913,0.466926,3.173913,132911.000000,132911.000000,0.000000,99,0,649,2,2,1,1,1,9.000000,0.000000,12.000000,236,0,0.136646,0.917580,2.221721,2.225338,0.000000,0.000000,0.000000,0.043478,-0.225074,-0.004855,-0.149707
240,23,281,5,0.373665,0.687048,1.237245,0.768743,0.397153,12.217391,0.471530,3.782609,132911.000000,132911.000000,0.000000,115,0,326,2,2,3,3,3,4.666667,0.000000,12.666667,244,0,0.121647,0.922132,2.264073,2.242575,0.000000,0.000000,0.000000,0.043478,-0.140641,-0.129160,-0.139616
280,23,277,7,0.407942,0.702003,1.356015,0.696854,0.563177,12.043478,0.487365,3.391304,132911.000000,132911.000000,0.000000,133,1,165,2,2,3,3,3,3.666667,0.000000,15.333333,314,4,0.143921,0.928587,2.335751,2.341708,0.000000,1.000000,1.000000,0.217391,-0.170176,-0.338453,-0.216410
320,24,268,4,0.425373,0.666880,1.198750,0.864715,0.319030,11.166667,0.524254,3.500000,132911.000000,132911.000000,0.000000,111,0,401,3,3,2,2,2,8.000000,0.000000,16.500000,75,0,0.125694,0.926203,2.388510,2.259730,0.000000,0.000000,0.000000,0.083333,-0.026993,-0.112183,-0.096958
360,25,254,5,0.437008,0.646351,1.159358,0.720350,0.480315,10.160000,0.547244,3.080000,132911.000000,132911.000000,-0.000000,102,0,678,3,3,4,4,4,5.000000,0.000000,9.250000,41,0,0.072480,0.927571,2.461849,2.237571,0.000000,0.000000,1.000000,0.120000,0.106920,0.092804,-0.110841
400,24,243,5,0.423868,0.636793,1.158891,0.720060,0.477366,10.125000,0.534979,2.458333,132911.000000,132911.000000,-0.000000,113,0,27,1,1,5,5,5,6.400000,0.000000,20.200000,7,0,0.088206,0.927113,2.372197,2.147392,0.000000,0.000000,0.000000,0.041667,-0.221803,-0.047138,-0.078496
