tick,orgs,occupied,lineages,topShare,simpson,shannonNats,pielouEven,giniLineage,meanCellsPerOrg,perimeterRatio,avgComponents,budget,measured,drift,tapeCorr,stillbirths,repTry,repOk,birthRepro,birthSplit,splitEvents,splitFrags,splitFragMean,splitSingletonRatio,splitKeepMean,xenoTry,xenoOk,xenoDriveMean,socialCohMean,actionEntropy,noveltyProxy
500,13,218,6,0.399083,0.758859,1.597531,0.891599,0.334862,16.769231,0.463303,3.769231,132911.000000,132911.000000,-0.000000,1143,0,707,4,4,21,20,21,5.761905,0.000000,18.950000,4490,162,0.256059,0.937260,2.458011,2.624142
1000,11,77,4,0.701299,0.461798,0.841893,0.607297,0.542208,7.000000,0.642857,3.000000,132911.000000,132910.999999,-0.000001,812,1,5912,39,39,23,23,23,4.521739,0.000000,14.478261,315,99,0.350832,0.960293,2.056267,1.411378
1500,13,59,2,0.983051,0.033324,0.085916,0.123950,0.483051,4.538462,0.728814,2.230769,132911.000000,132911.000000,-0.000000,421,1,1054,15,15,11,11,11,4.363636,0.000000,12.181818,14,14,0.636956,0.973914,1.419060,0.080612
2000,7,10,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.428571,1.000000,1.428571,132911.000000,132911.000000,0.000000,407,0,1298,0,0,4,4,4,7.500000,0.000000,10.500000,0,0,0.000000,0.978720,1.315449,0.000000
2500,5,11,2,0.636364,0.462810,0.655482,0.945660,0.136364,2.200000,0.727273,1.200000,132911.000000,132911.000000,0.000000,189,0,1496,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.930145,0.920652,0.888897
3000,5,10,3,0.500000,0.580000,0.943348,0.858673,0.266667,2.000000,0.800000,1.200000,132911.000000,132911.000000,-0.000000,242,0,726,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.959554,1.168724,1.257860
3500,2,2,2,0.500000,0.500000,0.693147,1.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,152,0,24,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.871754,0.962126,0.981063
4000,2,2,2,0.500000,0.500000,0.693147,1.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,-0.000000,93,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,1.363247,1.181624
4500,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,84,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.856244,1.695997,0.000000
5000,1,1,1,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,132911.000000,132911.000000,0.000000,64,0,500,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,1.521928,0.000000
5500,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,50,0,245,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,1.525230,0.000000
6000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,132911.000000,132911.000000,0.000000,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000
